user_id,business_id,predicted_rating,name,city,state,stars,categories,hidden_gem_score
rkmsy8QUiG3FmkLPHW5ejw,atZ_olNKXOG4rEr6mccN8g,4.993900057,Beiler's Bakery,Philadelphia,PA,4.5,"Food, Donuts, Food Stands, Restaurants, Specialty Food, Bakeries, Breakfast & Brunch",0.844006275
rkmsy8QUiG3FmkLPHW5ejw,zp9OcdUq2CWtQuI9FFBOQQ,4.987350518,Iovine Brothers Produce,Philadelphia,PA,4.5,"Fruits & Veggies, Food, Specialty Food",0.915292827
rkmsy8QUiG3FmkLPHW5ejw,CYKj959PZDjweV-CSpssCg,4.937804261,The Steak House at Western Village,Sparks,NV,4.5,"Steakhouses, Food, Salad, Desserts, Restaurants",0.749482079
rkmsy8QUiG3FmkLPHW5ejw,RqW9S4WG9UYZHKhHRHXJZg,4.909391105,Lolis Mexican Cravings,Tampa,FL,4.5,"Ethnic Food, Restaurants, Specialty Food, Mexican, Food",0.82379804
rkmsy8QUiG3FmkLPHW5ejw,tc6jKQiRjFO2M7BylwHVrg,4.902904522,Kwok's Bistro,Reno,NV,4.5,"Noodles, Restaurants, Chinese, Asian Fusion",0.934984575
rkmsy8QUiG3FmkLPHW5ejw,#NAME?,4.895099408,ICI Macarons & Cafe,Philadelphia,PA,5,"Desserts, Bakeries, Food, Coffee & Tea, Specialty Food, Macarons",0.927985396
rkmsy8QUiG3FmkLPHW5ejw,_nqrmx5xKLQyrbmjhwiiuA,4.885786223,The Catbird Seat,Nashville,TN,4.5,"American (New), Restaurants",0.851341758
rkmsy8QUiG3FmkLPHW5ejw,e3Y3hDpwHc9RmQlJtIgHuw,4.884792491,Lacroix Restaurant at The Rittenhouse,Philadelphia,PA,4.5,"Restaurants, Breakfast & Brunch, Brazilian, American (New), French, Asian Fusion",0.872469899
rkmsy8QUiG3FmkLPHW5ejw,OR7VJQ3Nk1wCcIbPN4TCQQ,4.884242097,Smiling With Hope Pizza,Reno,NV,5,"Italian, Restaurants, Salad, Pizza",0.908420267
rkmsy8QUiG3FmkLPHW5ejw,IO3apWfFnKPO2XRFmGfTEw,4.876939567,Nathaniel Reid Bakery,Saint Louis,MO,4.5,"Sandwiches, Food, Desserts, Restaurants, Bakeries",0.878286798
rkmsy8QUiG3FmkLPHW5ejw,2KIDQyTh-HzLxOUEDqtDBg,4.874520808,Mazzaro's Italian Market,Saint Petersburg,FL,4.5,"Specialty Food, Delis, Coffee Roasteries, Butcher, Meat Shops, Food, Restaurants, Grocery, Italian",0.717239586
rkmsy8QUiG3FmkLPHW5ejw,K74RHoIbJG_kIi9RsxQQcw,4.873156134,East Bistro - The Mediterranean Eatery,Clearwater,FL,4.5,"Food, Mediterranean, Cafes, Restaurants, Desserts, Middle Eastern",0.7936959
